id,date,title,type,epic_id,epic_title,month,pillar
DPMA-293,1/2/25,Modify shared event description,Story,DPMA-210,"[Receive] Bugs, issues, improvements UAT",Jan-25,Connection
DPMA-306,1/2/25,Small textual adjustments that are bothering Merlijn,Story,DPMA-94,[Send] UI Styling,Jan-25,Convenience
DPMA-137,1/3/25,Deploy/Manage Auth0 using .tf,Story,DPMA-134,Infrastructure,Jan-25,Fundamentals
DPMA-229,1/3/25,Create PRD release,Story,DPMA-134,Infrastructure,Jan-25,Fundamentals
DPMA-322,1/3/25,Add summary api key as secret for send api,Story,DPMA-134,Infrastructure,Jan-25,Clarity
DPMA-321,1/3/25,Deploy GPT 3.5 to 4 model change,Story,DPMA-134,Infrastructure,Jan-25,Clarity
DPMA-185,1/6/25,Display validation info udner wrong/not completed fields,Bug,DPMA-45,[Send] Doctor's onboarding and unlocking,Jan-25,Connection
DPMA-267,1/6/25,Create Ditto Send ADR for Org management,Story,DPMA-94,[Send] UI Styling,Jan-25,Convenience
DPMA-72,1/7/25,[Send AI] - New AI Consultation,Epic,,,Jan-25,Clarity
DPMA-204,1/7/25,Post-MVP additional testing,Epic,,,Jan-25,Convenience
DPMA-138,1/7/25,[Send] User Service + Authentication,Epic,,,Jan-25,Convenience
DPMA-80,1/7/25,[Send AI] - View AI Consultation,Epic,,,Jan-25,Clarity
DPMA-63,1/7/25,[Send] - UX/UI,Epic,,,Jan-25,Convenience
DPMA-162,1/7/25,"Recording approval is not given, but the tab is using microphone",Bug,DPMA-72,[Send AI] - New AI Consultation,Jan-25,Clarity
DPMA-310,1/7/25,'Attached files' section is sticked to the 'Description' text field,Bug,DPMA-46,[Send] Creating and sharing summary,Jan-25,Clarity
DPMA-313,1/7/25,The QR code does not appear after completing the consultation survey,Bug,DPMA-46,[Send] Creating and sharing summary,Jan-25,Clarity
DPMA-311,1/7/25,The same attachments can be added to a consultation multiple times,Bug,DPMA-46,[Send] Creating and sharing summary,Jan-25,Clarity
DPMA-224,1/7/25,Patient summary view FE looks off and too tiny,Task,DPMA-94,[Send] UI Styling,Jan-25,Clarity
DPMA-172,1/7/25,[Send] Localize Strings in Dutch language,Story,DPMA-94,[Send] UI Styling,Jan-25,Convenience
DPMA-170,1/7/25,PRD For Send App,Task,DPMA-94,[Send] UI Styling,Jan-25,Convenience
DPMA-326,1/7/25,Make visual for conceptual API service proposition,Task,DPMA-94,[Send] UI Styling,Jan-25,Convenience
DPMA-314,1/8/25,Drag & drop area doesn't cover the entire screen height when multiple attachments are already selected,Bug,DPMA-46,[Send] Creating and sharing summary,Jan-25,Clarity
DPMA-315,1/8/25,Both consultation types has the same title,Bug,DPMA-46,[Send] Creating and sharing summary,Jan-25,Clarity
DPMA-316,1/8/25,Invalid URLs can be added to standard consultations,Bug,DPMA-46,[Send] Creating and sharing summary,Jan-25,Clarity
DPMA-312,1/8/25,Lack of information about too much data entered within standard consultation,Bug,DPMA-46,[Send] Creating and sharing summary,Jan-25,Clarity
DPMA-317,1/8/25,QR codes are being generated for empty consultation,Bug,DPMA-46,[Send] Creating and sharing summary,Jan-25,Clarity
DPMA-318,1/8/25,Standard consultation's attachments require some changes,Bug,DPMA-46,[Send] Creating and sharing summary,Jan-25,Clarity
DPMA-305,1/8/25,Invalid email format notification is missing,Bug,DPMA-45,[Send] Doctor's onboarding and unlocking,Jan-25,Clarity
DPMA-210,1/9/25,"[Receive] Bugs, issues, improvements UAT",Epic,,,Jan-25,Fundamentals
DPMA-280,1/9/25,Switch simplification service to Ditto AI,Epic,,,Jan-25,Clarity
DPMA-45,1/9/25,[Send] Doctor's onboarding and unlocking,Epic,,,Jan-25,Connection
DPMA-323,1/9/25,No permissions to update Azure AD app ownership,Bug,DPMA-134,Infrastructure,Jan-25,Fundamentals
DPMA-281,1/9/25,Swap Claude simplification service to Ditto AI endpoint,Story,DPMA-280,Switch simplification service to Ditto AI,Jan-25,Clarity
DPMA-208,1/9/25,Implement new version of timeline view,Story,DPMA-206,[Receive] Rebranding,Jan-25,Convenience
