"name","segment","category","hq","markets","what","features","needs","mechanism","differentiation","users","revenue","funding","retention","business_model","verdict","status","ditto_flag","source_tier","source_url","notes","regions"
"Ditto Care","Cancer-specific","Patient comprehension / summaries","Netherlands","EU (NL)","AI plain-language summaries of medical appointments plus consented Care Circle sharing.","Appointment summary; jargon translation; care-circle sharing; per-event privacy; EU data residency; end-to-end encryption","1;2;6;8","Episodic appointment-summary artifact (the trust wedge)","EU/GDPR-native, multilingual, IKNL/GGD trust badge; most-rated app in the kanker.nl catalogue","35,000+ users; 4.61 stars (264 iOS ratings), 50k+ Play installs","","","30% of summaries already shared with family pre-Care-Circle","B2B / B2B2C (forming)","Growing","Active","Self","corpus","","Oncology beachhead; episodic + single-player today","EU"
"Kin Health","Cancer-specific","Patient comprehension / summaries","United States","US","Records visits, generates plain-English summaries + action items, shares with a care circle.","Visit recording; summaries; action items; Manager/Viewer roles; free","1;3;8","Appointment capture to summary","Explicit care roles; free, referral-monetized","","","$9M seed (Maveron, May 2026)","","Free; referral fees","Niche / early","Active","Watch","T2","","Closest direct competitor; US-only, English-only, not HIPAA-certified, privacy concerns","US"
"Belong.Life","Cancer-specific","Community + AI mentor","Israel / Global","Global","Largest cancer social network plus 'Dave', a conversational AI oncology mentor, and trial matching.","Peer community; expert Q&A; Dave AI mentor; DavePro/Tara trial matching","9;10;2;3","Community to proprietary data to grounded AI mentor","7 years of proprietary patient-physician data grounding the AI; pharma/IQVIA monetization","Hundreds of thousands of patients/caregivers; Dave tested by 10,000+","","$14M Series B (IQVIA-led)","","B2B (pharma, trials, RWE)","Growing","Active","Watch","T2","https://www.chiefhealthcareexecutive.com/view/belonglife-raises-14m-for-cancer-mhealth-app","Closest full analog to Ditto's ambition in cancer","Global"
"Outcomes4Me","Cancer-specific","Navigation + decision support","United States","US (expanding)","AI cancer-navigation app matching treatment options to NCCN guidelines, plus symptom tracking and trial matching.","Guideline-matched options; symptom tracking; trial matching; record organization","1;2;3;4;6;14","Guideline-grounded answers + navigation","NCCN-grounded; TIME Best Inventions 2025","280,000+ cancer patients","","$38M total ($21M Series B, May 2025)","","B2B (pharma/RWE) + consumer","Growing","Active","Watch","T2","https://www.prnewswire.com/news-releases/outcomes4me-secures-21m-in-funding-to-accelerate-ai-driven-innovation-and-drive-global-expansion-to-transform-cancer-care-302468806.html","","US"
"Resilience","Cancer-specific","ePRO / remote monitoring","France","FR, BE, expanding DE","Remote symptom monitoring + patient app, plus a pharma clinical-trial platform.","Symptom monitoring; patient app; care-team alerts; trial platform","4;6;14","ePRO remote monitoring","First oncology remote-monitoring device with French national reimbursement","90+ medical centres, 10,000+ patients","","~$65M+ (EUR 40M Series A 2022 + $25M 2024)","","Reimbursed device (clinic) + pharma trials","Growing","Active","Watch","T2","https://tech.eu/2024/05/23/resilience-raises-25m-to-expand-remote-oncology-patient-monitoring/","Best-funded EU oncology platform; most direct continental competitor","EU"
"Kaiku Health","Cancer-specific","ePRO / remote monitoring","Finland","EU (40+ clinics)","Class I ePRO symptom-monitoring with 25+ cancer-type modules, algorithmic feedback and alerts.","Symptom modules; algorithmic feedback; clinician alerts; RWE","4;6","ePRO remote monitoring","Owned by Elekta; broad pan-EU clinic footprint","40+ European cancer clinics","","EUR 4.4M Series A; acquired by Elekta (2021)","","B2B clinic (reimbursed)","Growing","Acquired","Watch","T2","https://www.mobihealthnews.com/news/cancer-focused-elekta-snaps-digital-oncology-startup-kaiku-health","","EU"
"Moovcare (Sivan)","Cancer-specific","ePRO / telemonitoring","France","FR","Web app for lung-cancer symptom self-reporting that triggers relapse early-detection alerts.","Symptom self-report; relapse alerts to oncologist","4;14","ePRO telemonitoring","Landmark RCT: median OS 19 vs 12 months (HR 0.33); first FR common-law reimbursed oncology telemonitoring","","","","","Reimbursed device","Proven (clinical)","Active","Watch","T2","https://www.medscape.com/viewarticle/864564","Scale/commercial status stale (2019)","EU"
"OncoKompas","Cancer-specific","Survivorship / self-management","Netherlands","NL","Web app (Measure/Learn/Act) covering physical, psychological, social, lifestyle and existential PROMs with tailored advice.","PROMs; tailored self-management advice; survivorship","4;9;11;14","ePRO self-management","RCT of 625 survivors across 14 NL hospitals; Amsterdam UMC","Academic; commercial traction undisclosed","","","","Academic / clinic","Niche (validated)","Active","Adopt (learn)","T1","https://www.sciencedirect.com/science/article/abs/pii/S1470204519306758","","EU"
"Cankado","Cancer-specific","ePRO / trials","Germany","DE / EU trials","Open eHealth ePRO platform (PRO-React) used heavily in oncology clinical trials.","ePRO; QR/web/app access; ISO 27001; trial tooling","4;6","ePRO","PreCycle breast-cancer RCT; pharma-services model","German multicentre trials","","License-fee model (no disclosed VC)","","License / pharma services","Niche","Active","Watch","T1","https://ascopubs.org/doi/10.1200/JCO.2023.41.16_suppl.1008","","EU"
"Noona","Cancer-specific","ePRO / patient portal","Finland / Global","AU, CA, UK","Oncology ePRO patient portal integrated with the ARIA EMR, in 12 languages.","Symptom reporting; EMR integration; multilingual","4;6","ePRO portal","Big-vendor (Varian/Siemens Healthineers) EMR distribution","Deployments in AU/CA/UK; totals undisclosed","","Owned by Siemens Healthineers (via Varian)","","B2B vendor (EMR-tethered)","Niche / Growing","Active","Watch","T3","https://cancercare.siemens-healthineers.com/products/software/patient-engagement/noona","","EU;Global"
"Untire","Cancer-specific","Fatigue / wellbeing","Netherlands","NL, DE, EN","App for cancer-related fatigue: psychoeducation, energy tracking, CBT-style exercises.","Psychoeducation; energy tracking; CBT exercises","4;9;14","Self-management + CBT","Waitlist RCT N=799, significant fatigue + QoL improvement","~30,000 downloads (since 2018)","","","31% trial retention; price complaints","Subscription","Mixed / Niche","Active","Watch","T1","https://onlinelibrary.wiley.com/doi/full/10.1002/pon.5492","","EU"
"OWise","Cancer-specific","Patient support / tracking","Netherlands","NL, UK, US","Patient-support + record/symptom-tracking app for breast and prostate cancer.","Symptom tracking; record; decision support; reminders","1;4;6;14","Tracking + support","NHS Digital-approved, NICE case study, AstraZeneca UK RWE; 13 years old","Undisclosed; near-zero NL app traction (9 iOS ratings)","","","","Subscription / partnerships","Niche (low traction)","Active","Watch","T3","https://owise.uk/rwe-study/","Tumor-type narrow","EU;US"
"iConquerFear / ConquerFear","Cancer-specific","Fear of recurrence (FCR)","Australia","AU (research)","Self-guided 5-module digital CBT specifically for fear of cancer recurrence.","Digital CBT; 5 modules; FCR-specific","9;14","Digital CBT","Most evidence-anchored FCR-specific tool; licensed to Blue Note for North America","Research-stage (pilot RCTs)","","","","License / DTx","Niche (research-stage)","Active","Adopt (learn)","T1","https://link.springer.com/article/10.1007/s11764-022-01233-9","","Other"
"Blue Note Therapeutics (Attune)","Cancer-specific","Distress DTx","United States","US","Prescription digital therapeutic for cancer-related anxiety/depression (FDA Breakthrough 2020).","Prescription DTx; cancer distress; licensed iConquerFear","9","Regulated DTx","Best-funded cancer-distress DTx","","","~$31.4M raised","","Prescription DTx","Dead","Defunct","Avoid (model)","T2","https://www.statnews.com/2024/10/17/blue-note-cancer-distress-digital-therapeutics-fda-rejection/","Shut down 2024 after FDA denial / failed pivotal trial","US"
"CancerAid","Cancer-specific","Patient + carer app / coach","Australia","AU","Cancer patient + carer app that pivoted to an insurer-funded 'Cancer Coach' program.","Symptom tracking; education; carer support; coaching","1;4;5;9;14","App to insurer-funded coaching","Pivot from D2C app to insurer benefit","~10,000 downloads; app delisted Jul 2024","","","","Insurer-funded coaching (B2B2C)","Struggling / pivoted","Defunct (app)","Avoid (D2C lesson)","T3","https://www.appbrain.com/app/canceraid/au.com.canceraid","Cautionary: D2C cancer app didn't sustain; insurer channel did","Other"
"MiJian (觅健)","Cancer-specific","Community / rehabilitation","China","China","Digital cancer-rehabilitation and patient-community platform with per-cancer sub-forums and full-course management.","Peer community; per-cancer sub-forums; education; full-course management","1;9;10;11;14","Community-as-growth-engine","Cancer-only community at national scale; narrow-path-first structure","2.3M+ registered members","","","","Pharma + commerce (unclear)","Growing","Active","Adopt (community structure)","T2","https://www.jmir.org/2021/12/e19183","Registered != active; monetization thin","Asia"
"Navya","Cancer-specific","Second opinion / tumor board","India","India + 75 countries","Virtual multidisciplinary tumor board (with Tata Memorial / National Cancer Grid) returning expert consensus in ~24h.","Virtual tumor board; expert consensus; report upload; free for low-income","3;1;2","Expert-tumor-board-as-a-service","Panel anchored to Tata Memorial credibility; cross-subsidy for the poor","120,000+ patients from 75 countries","","","","B2B (hospital/expert) + cross-subsidy","Growing","Active","Adopt (model)","T3","https://navyanetwork.com/impact","Traction self-reported","Asia"
"Onco.com","Cancer-specific","Navigation / second opinion","India","India + 18 countries","End-to-end cancer-care navigation: personalized advice, virtual tumor boards, hospital/lab/pharmacy connects.","Navigation; virtual tumor boards; logistics; commerce backbone","3;6;11;12;13","Navigation + tumor board on a logistics backbone","Cancer navigation anchored to global specialist panels","~10,000 registrations/month","","$13M total ($7M Series A 2019)","","Navigation + commerce","Mixed (funding dated)","Active","Adopt (navigation)","T2","https://www.biospectrumindia.com/news/20/14772/onco-com-raises-7m-in-series-a-funding.html","","Asia"
"LinkDoc (零氪)","Cancer-specific","Oncology data / continuous care","China","China","Structures cancer-patient records (LinkData), runs a continuous-care platform (LinkCare), sells RWE to life sciences.","Record structuring; continuous care; RWE/data products","4;5;6","Structured oncology data to continuous care","Closest China analog to 'understood conversation to continuous record'; standalone enterprise data value","","","~$259M total ($102.5M Series D)","","B2B data / RWE","Mixed","Active","Watch","T2","https://www.dealstreetasia.com/stories/alibaba-health-linkdoc-us-ipo-245894","US IPO withdrawn 2022; pull toward B2B/pharma; geopolitical risk","Asia"
"Lunit","Clinical / provider","Oncology AI (imaging/biomarker)","South Korea","Global","Oncology AI: cancer detection in radiology (INSIGHT) and tissue/biomarker analysis for therapy selection (SCOPE).","Radiology cancer detection; biomarker AI; acquired Volpara","","Clinical AI (provider-side)","Where the oncology-AI money is being captured: provider/imaging, not patient","","FY24 revenue KRW 54.2bn (~$37.2M, +116% YoY)","~$272.5M total","","B2B provider / pharma","Growing","Active","Watch","T2","https://www.koreabiomed.com/news/articleView.html?idxno=26575","Not patient-facing; market context","Asia;Global"
"CaringBridge","Patient support & caregiver","Update broadcast / journal","United States","US / Global","Shared health-journey updates and a support network around a patient.","Health-journey journal; updates; support network","8;10","Update broadcast","Non-profit; 73% of sites are caregiver-created","Millions of users","","Non-profit","","Non-profit / donations","Proven","Active","Adopt (share-with-circle)","T2","https://brainsforthecure.org/caringbridge-bridging-the-gap-between-patients-and-caregivers/","","Global;US"
"Lotsa Helping Hands","Patient support & caregiver","Care coordination","United States","US","Free care-coordination calendar for meals, rides and errands across a circle of care.","Task/meal/ride calendar; invite circle","8;12","Help coordination","","","","Free","","Free","Niche","Active","Adopt","T3","","Dated UX; US-centric","US"
"ianacare","Patient support & caregiver","Caregiver support","United States","US","Caregiver coordination plus an employer benefit.","Coordination; employer benefit","7;8;12","Caregiver coordination","","","","Employer deals","","B2B employer","Niche","Active","Watch","T2","","","US"
"Birdie","Patient support & caregiver","Homecare platform","United Kingdom","EU/UK","Homecare coordination platform with a family app.","Homecare coordination; family app","6;7;12","Homecare digitization","EU homecare focus","","","$100M+ raised (unconfirmed)","","B2B homecare","Growing","Active","Watch","T2","","","EU"
"Jointly (Carers UK)","Patient support & caregiver","Care coordination","United Kingdom","UK","'Circle of care' coordination: group messaging, to-do lists, medication lists, calendar.","Group messaging; tasks; med lists; calendar","7;8;12","Carer coordination","Charity-backed; council/ICB-distributed","","","Carers UK (charity)","","Charity / public distribution","Niche","Active","Adopt","T3","https://www.carersuk.org/help-and-advice/technology-and-equipment/jointly-app-for-carers/","","EU"
"Stamps","Patient support & caregiver","Family update journal","Netherlands","NL","Family-update journal app for sharing how a patient is doing.","Update journal; family sharing","8","Update broadcast","Loved but manual (the sick person must write every update)","4.71 stars (63 ratings)","","","","Consumer","Niche","Active","Adopt (but manual)","T3","","From kanker.nl catalogue","EU"
"MealTrain","Patient support & caregiver","Meal logistics","United States","US","Meal-delivery coordination for families in crisis.","Meal rota; scheduling","12;8","Help coordination","","","","","","Freemium","Niche","Active","Adopt","T3","","","US"
"Kaizen Health","Patient support & caregiver","Medical transport (NEMT)","United States","US","Non-emergency medical transportation tech (rideshare + fleet), payer/provider-scheduled.","Ride scheduling; rideshare + fleet; payer integration","12","Transport coordination","","","","~$3.8M total (UnityPoint, MTM)","","B2B payer/provider","Niche","Active","Watch","T1","https://tracxn.com/d/companies/kaizen-health/__nW_ndsfYbQPqsDFn6De9epkYxfGwENJW3ZK-cb5_5hw","EU transport sits inside public systems","US"
