ID,Title,Link,Status,Project,Pillar,OKR_primary,OKR_link,Investment,Effort,Priority
PRO-240,CIO: finalize manual appointment reminder flow,https://linear.app/ditto-care/issue/PRO-240/cio-finalize-manual-appointment-reminder-flow,In Progress,(none),Convenience,O2-KR2,Inferred,Lifecycle/CRM,M,High
PRO-241,CIO: finalize the Other's Care Welcome Series.,https://linear.app/ditto-care/issue/PRO-241/cio-finalize-the-others-care-welcome-series,In Progress,(none),Convenience,O2-KR2,Inferred,Lifecycle/CRM,S,No priority
PRO-260,Install counts disagree between Adjust and Mixpanel (e.g. nl_newspaper),https://linear.app/ditto-care/issue/PRO-260/install-counts-disagree-between-adjust-and-mixpanel-eg-nl-newspaper,In Review,(none),Fundamentals,—,None (BAU/foundational),Bug fix,M,Medium
PRO-352,CIO: Follow-up appointment flow,https://linear.app/ditto-care/issue/PRO-352/cio-follow-up-appointment-flow,In Progress,(none),Convenience,O2-KR2,Inferred,Lifecycle/CRM,S,High
PRO-353,CIO: Profile completion campaign,https://linear.app/ditto-care/issue/PRO-353/cio-profile-completion-campaign,In Progress,(none),Convenience,O2-KR2,Inferred,Lifecycle/CRM,M,Medium
PRO-354,CIO: Post-summary engagement,https://linear.app/ditto-care/issue/PRO-354/cio-post-summary-engagement,In Progress,(none),Clarity,O2-KR4,Inferred,Lifecycle/CRM,S,No priority
PRO-361,CIO Wrapping Solutions,https://linear.app/ditto-care/issue/PRO-361/cio-wrapping-solutions,In Progress,(none),Convenience,O2-KR2,Inferred,Bug fix,S,High
PRO-372,"Onboarding: selecting both ""loved one is ill"" + ""I care for someone regularly"" routes to generic flow instead of caregiver-specific flow",https://linear.app/ditto-care/issue/PRO-372/onboarding-selecting-both-loved-one-is-ill-i-care-for-someone,In Review,(none),Connection,O2-KR3,Inferred,Bug fix,L,High
PRO-385,Localization of British English copy for UK launch,https://linear.app/ditto-care/issue/PRO-385/localization-of-british-english-copy-for-uk-launch,In Review,(none),Convenience,O1-KR3,Inferred,Team/internal ops,S,Urgent
PRO-425,Migrate CC to User Service,https://linear.app/ditto-care/issue/PRO-425/migrate-cc-to-user-service,In Progress,(none),Fundamentals,—,None (BAU/foundational),Team/internal ops,S,No priority
PRO-426,Have a simple migration plan written out,https://linear.app/ditto-care/issue/PRO-426/have-a-simple-migration-plan-written-out,In Progress,(none),Fundamentals,—,None (BAU/foundational),Team/internal ops,S,No priority
PRO-567,Preparation Workshop,https://linear.app/ditto-care/issue/PRO-567/preparation-workshop,In Progress,(none),Fundamentals,—,None (BAU/foundational),Team/internal ops,S,High
PRO-568,Rerun appointment reminder impact analysis on June 2,https://linear.app/ditto-care/issue/PRO-568/rerun-appointment-reminder-impact-analysis-on-june-2,In Progress,(none),Convenience,O2-KR2,Inferred,Team/internal ops,S,No priority
PRO-593,Customer.io post-summary flow,https://linear.app/ditto-care/issue/PRO-593/customerio-post-summary-flow,In Progress,(none),Clarity,O2-KR4,Inferred,Lifecycle/CRM,S,No priority
PRO-546,Implement: B2B outreach — Oli (full rollout),https://linear.app/ditto-care/issue/PRO-546/implement-b2b-outreach-oli-full-rollout,In Progress,15 FTE AI agents,Fundamentals,O1-KR2,Linear-linked,AI agents,S,High
PRO-547,Implement: Finance (Wave 1),https://linear.app/ditto-care/issue/PRO-547/implement-finance-wave-1,In Progress,15 FTE AI agents,Fundamentals,O1-KR2,Linear-linked,Team/internal ops,S,High
PRO-548,Implement: customer service (Wave 1),https://linear.app/ditto-care/issue/PRO-548/implement-customer-service-wave-1,In Progress,15 FTE AI agents,Fundamentals,O1-KR2,Linear-linked,Team/internal ops,S,High
PRO-340,"Bart Voorn, Partnerships lead at Ditto Care",https://linear.app/ditto-care/issue/PRO-340/bart-voorn-partnerships-lead-at-ditto-care,In Review,15ftes: Person Research,Fundamentals,O1-KR2,Linear-linked,Team/internal ops,S,Medium
PRO-341,Merlijn van Breugel,https://linear.app/ditto-care/issue/PRO-341/merlijn-van-breugel,In Review,15ftes: Person Research,Fundamentals,O1-KR2,Linear-linked,Team/internal ops,S,Medium
PRO-342,"Niek Schreurs — Marketing/Growth, Ditto Care",https://linear.app/ditto-care/issue/PRO-342/niek-schreurs-marketinggrowth-ditto-care,In Review,15ftes: Person Research,Fundamentals,O1-KR2,Linear-linked,Team/internal ops,S,Medium
PRO-343,Iman Hashemi (Ditto Care),https://linear.app/ditto-care/issue/PRO-343/iman-hashemi-ditto-care,In Review,15ftes: Person Research,Fundamentals,O1-KR2,Linear-linked,Team/internal ops,S,Medium
PRO-400,Jasper Makkinje,https://linear.app/ditto-care/issue/PRO-400/jasper-makkinje,In Review,15ftes: Person Research,Fundamentals,O1-KR2,Linear-linked,Team/internal ops,S,No priority
PRO-412,Please create a ticket to collect intel on Yury Sukhoverkhov from Ditto.,https://linear.app/ditto-care/issue/PRO-412/please-create-a-ticket-to-collect-intel-on-yury-sukhoverkhov-from,In Review,15ftes: Person Research,Fundamentals,O1-KR2,Linear-linked,Team/internal ops,S,No priority
PRO-413,Collect intel on Yury Sukhoverkhov from Ditto,https://linear.app/ditto-care/issue/PRO-413/collect-intel-on-yury-sukhoverkhov-from-ditto,In Review,15ftes: Person Research,Fundamentals,O1-KR2,Linear-linked,Team/internal ops,M,No priority
PRO-392,Implement follow-up appointment suggestion on the timeline,https://linear.app/ditto-care/issue/PRO-392/implement-follow-up-appointment-suggestion-on-the-timeline,In Progress,Appointment Preparation,Clarity,O2-KR4,Linear-linked,New feature,L,No priority
PRO-394,Implement follow-up question suggestions on the follow-up appointment,https://linear.app/ditto-care/issue/PRO-394/implement-follow-up-question-suggestions-on-the-follow-up-appointment,In Progress,Appointment Preparation,Clarity,O2-KR4,Linear-linked,New feature,L,No priority
PRO-335,Mobile implementation — pull integration (iOS + Android),https://linear.app/ditto-care/issue/PRO-335/mobile-implementation-pull-integration-ios-android,In Progress,Calendar Integration,Convenience,O2-KR2,Linear-linked,Team/internal ops,M,No priority
